Date,AUD,EUR,CAD,GBP,CHF
2003-01-02,1.7765,0.9652,1.575,0.626,1.4015
2003-01-03,1.7683,0.9599,1.5665,0.6232,1.3975
2003-01-06,1.7355,0.9552,1.5598,0.6219,1.3928
2003-01-07,1.7382,0.9598,1.559,0.6229,1.3983
2003-01-08,1.7394,0.9572,1.5613,0.6225,1.3963
2003-01-09,1.7346,0.9554,1.5541,0.6236,1.3943
2003-01-10,1.7182,0.9492,1.5502,0.6219,1.386
2003-01-13,1.7144,0.9492,1.5423,0.6238,1.3868
2003-01-14,1.7147,0.946,1.5396,0.6223,1.384
2003-01-15,1.71,0.9455,1.5353,0.6239,1.3829
2003-01-16,1.7036,0.9462,1.5366,0.6222,1.3828
2003-01-17,1.6923,0.9381,1.5355,0.6183,1.3678
2003-01-21,1.7044,0.9366,1.5332,0.6202,1.3687
2003-01-22,1.7059,0.9321,1.5324,0.6187,1.3629
2003-01-23,1.6926,0.9288,1.524,0.616,1.358
2003-01-24,1.6886,0.9238,1.522,0.6127,1.3528
2003-01-27,1.6961,0.9227,1.5246,0.6116,1.3554
2003-01-28,1.6987,0.9231,1.5359,0.6098,1.356
2003-01-29,1.6926,0.9207,1.5235,0.6076,1.3512
2003-01-30,1.703,0.928,1.531,0.6067,1.3629
2003-01-31,1.7065,0.9312,1.5286,0.608,1.3683
2003-02-03,1.7114,0.9293,1.5207,0.6096,1.3631
2003-02-04,1.6932,0.9195,1.5146,0.6068,1.3493
2003-02-05,1.6943,0.9223,1.5195,0.6077,1.354
2003-02-06,1.692,0.9235,1.5213,0.6115,1.3541
2003-02-07,1.6941,0.9258,1.5215,0.6141,1.3584
2003-02-10,1.6966,0.9311,1.5315,0.6144,1.366
2003-02-11,1.6969,0.9305,1.5303,0.6176,1.3653
2003-02-12,1.6949,0.9332,1.529,0.619,1.37
2003-02-13,1.6779,0.923,1.5199,0.6169,1.3559
2003-02-14,1.6889,0.926,1.5191,0.6209,1.3618
2003-02-18,1.6915,0.9339,1.515,0.6281,1.3745
2003-02-19,1.6827,0.9308,1.514,0.6267,1.3697
2003-02-20,1.6708,0.9241,1.5047,0.6279,1.356
2003-02-21,1.6745,0.927,1.5052,0.6304,1.3618
2003-02-24,1.651,0.9274,1.4944,0.6305,1.3592
2003-02-25,1.6521,0.9275,1.4928,0.6358,1.3538
2003-02-26,1.6461,0.9262,1.4939,0.6327,1.355
2003-02-27,1.6518,0.9291,1.4954,0.633,1.3598
2003-02-28,1.6461,0.9277,1.488,0.6354,1.3557
2003-03-03,1.6297,0.9229,1.4853,0.6347,1.3468
2003-03-04,1.6295,0.9189,1.4775,0.6321,1.34
2003-03-05,1.6231,0.9118,1.4727,0.6249,1.3299
2003-03-06,1.6281,0.9093,1.4714,0.6231,1.3314
2003-03-07,1.6295,0.9079,1.4665,0.6242,1.3338
2003-03-10,1.6242,0.904,1.4659,0.6247,1.3247
2003-03-11,1.6556,0.9068,1.4725,0.6235,1.3316
2003-03-12,1.6781,0.9072,1.4728,0.62,1.3315
2003-03-13,1.6832,0.92,1.4855,0.6228,1.349
2003-03-14,1.6762,0.9324,1.4822,0.6321,1.369
2003-03-17,1.6886,0.9429,1.4835,0.6377,1.3845
2003-03-18,1.6872,0.9413,1.4788,0.64,1.3843
2003-03-19,1.6912,0.9443,1.4804,0.6391,1.3903
2003-03-20,1.6849,0.9422,1.4788,0.6382,1.387
2003-03-21,1.6935,0.9483,1.4905,0.6386,1.4
2003-03-24,1.6815,0.9395,1.4805,0.635,1.3847
2003-03-25,1.6756,0.9369,1.477,0.6367,1.3805
2003-03-26,1.6745,0.9366,1.4711,0.6352,1.3827
2003-03-27,1.6667,0.9339,1.4673,0.6379,1.3807
2003-03-28,1.6658,0.9292,1.468,0.638,1.3724
2003-03-31,1.6543,0.9174,1.4695,0.6333,1.3538
2003-04-01,1.6543,0.9171,1.4729,0.6342,1.3537
2003-04-02,1.6675,0.9289,1.4762,0.6386,1.3794
2003-04-03,1.6678,0.9314,1.476,0.6362,1.3809
2003-04-04,1.6639,0.9336,1.472,0.6411,1.3875
2003-04-07,1.675,0.9415,1.4843,0.6452,1.3995
2003-04-08,1.6656,0.936,1.4677,0.6449,1.3905
2003-04-09,1.6578,0.9327,1.4678,0.6426,1.3858
2003-04-10,1.6499,0.9257,1.457,0.6362,1.3846
2003-04-11,1.6537,0.9301,1.4519,0.6364,1.3933
2003-04-14,1.6581,0.9282,1.4533,0.6364,1.3895
2003-04-15,1.6513,0.9258,1.4515,0.6367,1.3912
2003-04-16,1.6353,0.9198,1.4563,0.6353,1.3785
2003-04-17,1.6268,0.9168,1.449,0.635,1.377
2003-04-18,1.6276,0.9189,1.45,0.6356,1.381
2003-04-21,1.6287,0.9211,1.4547,0.6414,1.3901
2003-04-22,1.6098,0.9119,1.4473,0.6342,1.3708
2003-04-23,1.62,0.9133,1.4512,0.6323,1.3759
2003-04-24,1.6116,0.9059,1.4579,0.6261,1.359
2003-04-25,1.6255,0.9058,1.4535,0.6283,1.3612
2003-04-28,1.615,0.9092,1.4504,0.6287,1.3695
2003-04-29,1.6129,0.9083,1.446,0.6288,1.3688
2003-04-30,1.5969,0.8945,1.4336,0.625,1.3545
2003-05-01,1.5828,0.8898,1.4191,0.621,1.342
2003-05-02,1.5878,0.8929,1.4221,0.6242,1.348
2003-05-05,1.5765,0.8872,1.4134,0.6227,1.344
2003-05-06,1.5667,0.8807,1.4085,0.6196,1.3331
2003-05-07,1.5718,0.8818,1.401,0.6277,1.3264
2003-05-08,1.5567,0.8731,1.395,0.6237,1.3172
2003-05-09,1.5509,0.8697,1.393,0.6232,1.3114
2003-05-12,1.5427,0.8653,1.3885,0.6213,1.3107
2003-05-13,1.5485,0.8696,1.3898,0.6214,1.3168
2003-05-14,1.5446,0.8697,1.3786,0.6187,1.3157
2003-05-15,1.5564,0.8728,1.3757,0.6149,1.3151
2003-05-16,1.538,0.8664,1.3672,0.6157,1.3102
2003-05-19,1.5244,0.8557,1.3604,0.6115,1.2945
2003-05-20,1.5216,0.8558,1.3446,0.61,1.294
2003-05-21,1.5237,0.8542,1.3498,0.6092,1.2903
2003-05-22,1.5186,0.8547,1.3679,0.6118,1.294
2003-05-23,1.5209,0.8485,1.3783,0.6106,1.293
2003-05-27,1.5186,0.8437,1.3754,0.6098,1.2851
2003-05-28,1.5434,0.8516,1.3867,0.6116,1.299
2003-05-29,1.5439,0.845,1.3769,0.6066,1.2898
2003-05-30,1.5354,0.8499,1.3712,0.61,1.3022
2003-06-02,1.5235,0.8515,1.3696,0.6108,1.2973
2003-06-03,1.5154,0.8546,1.3768,0.6143,1.3127
2003-06-04,1.5022,0.8541,1.3575,0.6123,1.3129
2003-06-05,1.4984,0.8425,1.3404,0.6025,1.2973
2003-06-06,1.5172,0.8551,1.354,0.6016,1.3233
2003-06-09,1.5191,0.8516,1.3585,0.6078,1.3131
2003-06-10,1.5232,0.8557,1.3649,0.6052,1.3192
2003-06-11,1.5056,0.8501,1.3523,0.5997,1.306
2003-06-12,1.5033,0.8498,1.3492,0.5994,1.3104
2003-06-13,1.499,0.8453,1.3362,0.5997,1.3047
2003-06-16,1.4979,0.8444,1.3397,0.5947,1.3009
2003-06-17,1.4888,0.8466,1.3393,0.5938,1.3051
2003-06-18,1.4861,0.854,1.3348,0.5953,1.3205
2003-06-19,1.4934,0.8563,1.3508,0.5974,1.3246
2003-06-20,1.4981,0.8609,1.359,0.6008,1.329
