,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'wired', 'name': 'Wired'}",Morgan Meaker,Silicon Valley Bank’s Failure Deals a Blow to Europe’s Startups,"The US lender filled a niche for European tech companies that no one else could, or would.",https://www.wired.com/story/silicon-valley-bank-europe-tech-startup/,"https://media.wired.com/photos/640f9dd4412651fa6ee14690/191:100/w_1280,c_limit/Euro_GettyImages-1409427454_biz.jpg",2023-03-13T22:05:54Z,Silicon Valley Bank's struggles started with a bad bet on long-dated US bonds. Rising interest rates meant that the value of those bonds fell. As depositors started to worry about the bank's balance … [+3167 chars]
1,"{'id': 'cnn', 'name': 'CNN'}","Julia Horowitz, Anna Cooban",Analysis: Silicon Valley Bank collapse has echoes of 2008. Here's why things are different this time,The failure of Silicon Valley Bank is rattling markets and raising uncomfortable questions: Will it undermine the broader banking system and start a new meltdown?,https://www.cnn.com/2023/03/10/investing/svb-banking-crisis-what-next/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/230310131757-svb-financial-collapse-nyse-0310-restricted.jpg?c=16x9&q=w_800,c_fill",2023-03-10T18:25:04Z,"The failure of Silicon Valley Bank is rattling markets and raising uncomfortable questions: Will it undermine the broader banking system and start a new meltdown?
Billionaire hedge fund manager Bill… [+5146 chars]"
2,"{'id': 'engadget', 'name': 'Engadget'}",Steve Dent,US regulators will protect all deposits at Silicon Valley Bank,"US regulators have announced that they're taking action to ""fully"" protect all deposits at Silicon Valley Bank (SVB), CNBC has reported. The institution is home to a large number of startups and established companies like Roku and Etsy, which will have full a…",https://www.engadget.com/us-regulators-will-protect-all-deposits-at-silicon-valley-bank-045837677.html,https://s.yimg.com/uu/api/res/1.2/GG55.lJRrhAKn81IRfy7Sg--~B/Zmk9ZmlsbDtoPTYzMDtweW9mZj0wO3c9MTIwMDthcHBpZD15dGFjaHlvbg--/https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-uploaded-images/2023-03/97ee76a0-c152-11ed-bd79-862a0131fd8d.cf.jpg,2023-03-13T04:58:37Z,"US regulators have announced that they're taking action to ""fully"" protect all deposits at Silicon Valley Bank (SVB), CNBC has reported. The institution is home to a large number of startups and esta… [+2436 chars]"
3,"{'id': 'cnn', 'name': 'CNN'}",Nicole Goodkind,What comes next in the banking crisis? The early 1990s hold clues,"Investors are searching for clarity in the wake of Friday's collapse of Silicon Valley Bank — the biggest failure of a US bank since 2008. And as they attempt to predict what comes next — be it wider financial chaos, more government regulation, a pause in Fed…",https://www.cnn.com/2023/03/14/investing/premarket-stocks-trading/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/230313190406-silicon-valley-bank-031323.jpg?c=16x9&q=w_800,c_fill",2023-03-14T12:01:09Z,A version of this story first appeared in CNN Business Before the Bell newsletter. Not a subscriber? You can sign up right here. You can listen to an audio version of the newsletter by clicking the s… [+7716 chars]
4,"{'id': 'cnn', 'name': 'CNN'}",Matt Egan,"The Fed needs to stop raising rates now, former FDIC chair says after Silicon Valley Bank failure","Sheila Bair, a top banking regulator during the 2008 financial crisis, says the stunning implosion of Silicon Valley Bank is exactly why the Federal Reserve needs to halt its war on inflation.",https://www.cnn.com/2023/03/13/investing/sheila-bair-svb-fed-rates/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/230313110934-01-sheila-bair-file-01723.jpg?c=16x9&q=w_800,c_fill",2023-03-13T11:27:26Z,"Sheila Bair, a top banking regulator during the 2008 financial crisis, says the stunning implosion of Silicon Valley Bank is exactly why the Federal Reserve needs to halt its war on inflation.
The F… [+2812 chars]"
5,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Silicon Valley Bank: Money in failed US bank is safe - US government,"Depositors with Silicon Valley Bank can access all their money from Monday, US officials say.",https://www.bbc.co.uk/news/world-us-canada-64935170,https://ichef.bbci.co.uk/news/1024/branded_news/115F4/production/_128965117_760c6bb963734859bf860851f0e26e22223b4c510_117_5500_30945500x3094.jpg,2023-03-12T22:51:40Z,"People and businesses who have money deposited with failed US bank Sillicon Valley Bank (SVB) will be able to access all their cash from Monday, the US government has said.
A statement from the Trea… [+483 chars]"
6,"{'id': 'cnn', 'name': 'CNN'}",Matt Egan,'Absolutely idiotic'. SVB insider says employees are angry with CEO,"The blame game is on for who caused Silicon Valley Bank's collapse, and the tech sector is pointing the finger at SVB CEO Greg Becker for allowing his company to go down in history as the second-biggest US banking failure on record.",https://www.cnn.com/2023/03/13/business/svb-employees-angry-at-ceo/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/230313130109-01-svb-silicon-valley-bank-0313.jpg?c=16x9&q=w_800,c_fill",2023-03-13T19:45:48Z,"The blame game is on for who caused Silicon Valley Banks collapse, and the tech sector is pointing the finger at SVB CEO Greg Becker for allowing his company to go down in history as the second-bigge… [+4343 chars]"
7,"{'id': 'google-news', 'name': 'Google News'}",,U.S. credit default swaps rise on worries about bank failure contagion - Reuters,U.S. credit default swaps rise on worries about bank failure contagion  Reuters,https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2J1c2luZXNzL2ZpbmFuY2UvdXMtY3JlZGl0LWRlZmF1bHQtc3dhcHMtcmlzZS13b3JyaWVzLWFib3V0LWJhbmstZmFpbHVyZS1jb250YWdpb24tMjAyMy0wMy0xMy_SAQA?oc%3D5%26hl%3Den-CA%26gl%3DCA%26ceid%3DCA:en&gl=FR&hl=en-CA&cm=2&pc=n&src=1,,2023-03-13T17:42:00Z,"We use cookies and data to<ul><li>Deliver and maintain Google services</li><li>Track outages and protect against spam, fraud, and abuse</li><li>Measure audience engagement and site statistics to unde… [+1131 chars]"
8,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,UK to help tech firms after Silicon Valley Bank collapse,"Tech firms caught up in bank collapse will have cashflow needs met, the government says.",https://www.bbc.co.uk/news/business-64930944,https://ichef.bbci.co.uk/news/1024/branded_news/D5A6/production/_128949645_whatsubject.jpg,2023-03-12T08:56:00Z,"The government is working on a plan so that UK tech firms caught up in the collapse of Silicon Valley Bank won't run out of cash, it has said.
The Treasury wants to ""minimise damage to some of our m… [+2179 chars]"
9,"{'id': 'business-insider', 'name': 'Business Insider'}","insider@insider.com (Ryan Flynn,Samara Abramson)","Why Silicon Valley Bank collapsed, and why it matters","Silicon Valley Bank collapsed on Friday, resulting in the second-largest bank failure in US history.",https://www.businessinsider.com/why-silicon-valley-bank-collapsed-and-why-it-matters-2023-3,https://i.insider.com/6410e6b19aa2e6001956ee53?width=1200&format=jpeg,2023-03-14T21:51:44Z,"Silicon Valley Bank collapsed on Friday, resulting in the second-largest bank failure in US history."
10,"{'id': 'business-insider', 'name': 'Business Insider'}",zsalfiti@insider.com (Zinya Salfiti),"SVB's failure is being investigated by US authorities, report says","The Department of Justice's fraud squad and the SEC are investigating what happened at Silicon Valley Bank, whose failure ignited fears over bank stability.",https://markets.businessinsider.com/news/stocks/doj-sec-investigate-silicon-valley-bank-collapse-svb-failure-probe-2023-3,https://i.insider.com/6411a01eb6d9f2001891254c?width=1200&format=jpeg,2023-03-15T13:56:31Z,"Silicon Valley Bank is now being investigated by US authorities after the California bank was seized by regulators last week amid a flood of deposit withdrawals that crushed its finances, The Wall St… [+2067 chars]"
11,"{'id': 'cnn', 'name': 'CNN'}","Michelle Toh, Robert North",HSBC is buying SVB's UK business for just over $1,"HSBC has scooped up the UK arm of Silicon Valley Bank for £1 ($1.2), just days after its business in the United States collapsed in stunning fashion.",https://www.cnn.com/2023/03/13/investing/svb-uk-business-deal-intl-hnk/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/230313071812-hsbc-london-file-2022-restricted.jpg?c=16x9&q=w_800,c_fill",2023-03-13T07:29:36Z,"HSBC has scooped up the UK arm of Silicon Valley Bank for £1 ($1.2), just days after its business in the United States collapsed in stunning fashion.
SVB UK had been placed into insolvency by the Ba… [+585 chars]"
12,"{'id': 'business-insider', 'name': 'Business Insider'}",ddefrancesco@businessinsider.com (Dan DeFrancesco),The winners and losers of the Silicon Valley Bank failure,Silicon Valley Bank's failure set off waves of knock-on effects and also left a massive hole in the industry. Here's who is up and down as a result.,https://www.businessinsider.com/silicon-valley-bank-failure-bailout-winners-losers-2023-3,https://i.insider.com/640c62ec8b8d9b0018cacdc3?width=1200&format=jpeg,2023-03-13T19:23:50Z,"In times of crisis on Wall Street, one must ask: Who is winning, and who is losing?
Depending on where you stand, the unfortunate/fortunate reality of finance is that it is a zero-sum game. When one… [+5497 chars]"
13,"{'id': 'google-news', 'name': 'Google News'}",,Stocks falling after failure of Silicon Valley Bank - CTV News,"<ol><li>Stocks falling after failure of Silicon Valley Bank  CTV News
</li><li>Stock market news today: Stocks seesaw, bond yields, bank stocks fall on SVB fallout  Yahoo Canada Finance
</li><li>Bonds surge, U.S. futures erase gains on SVB fallout  BNN Bloo…",https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LmN0dm5ld3MuY2EvYnVzaW5lc3MvZmVhci1ncmlwcy1maW5hbmNpYWwtbWFya2V0cy1mb2xsb3dpbmctdS1zLWJhbmstZmFpbHVyZXMtMS42MzEwNzQ40gEA?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1,,2023-03-13T14:01:56Z,"We use cookies and data to<ul><li>Deliver and maintain Google services</li><li>Track outages and protect against spam, fraud, and abuse</li><li>Measure audience engagement and site statistics to unde… [+1131 chars]"
14,"{'id': 'business-insider', 'name': 'Business Insider'}",ztayeb@businessinsider.com (Zahra Tayeb),Goldman Sachs bought the SVB bonds whose $1.8 billion loss set off the startup lender's meltdown,"The huge losses experienced by Silicon Valley Bank on its bond fire sale sparked the lender's meltdown, marking the biggest bank failure since 2008.",https://markets.businessinsider.com/news/stocks/silicon-valley-bank-svb-goldman-sachs-bought-bond-portfolio-2023-3,https://i.insider.com/640caf24ff11870018c4e04c?width=1200&format=jpeg,2023-03-15T10:46:28Z,"Silicon Valley Bank revealed Tuesday that Goldman Sachs bought the bond portfolio on which the startup lender booked a multi-billion-dollar loss, setting off the biggest bank failure since 2008.
The… [+1273 chars]"
15,"{'id': None, 'name': 'The Guardian'}",Robert Reich,There’s a deeper story to Silicon Valley Bank’s failure. What can we learn from it?,"Financial deregulation lead to the crash in 2008 and it could again in 2023. It’s time to make banking boring againOn Friday, bank regulators closed Silicon Valley Bank, based in Santa Clara, California. Its failure was the second largest in US history and th…",https://www.theguardian.com/commentisfree/2023/mar/13/svb-collapse-2008-financial-crisis,https://i.guim.co.uk/img/media/e8c38c6a0c23cbaebee12d3a99381c7c333738ac/0_415_6000_3600/master/6000.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctb3BpbmlvbnMucG5n&enable=upscale&s=2447387b0c51a98644a94db6cfdae597,2023-03-13T13:43:55Z,"On Friday, bank regulators closed Silicon Valley Bank, based in Santa Clara, California. Its failure was the second largest in US history and the largest since the financial crisis of 2008.
Will oth… [+8465 chars]"
16,"{'id': 'business-insider', 'name': 'Business Insider'}",insider@insider.com (Sindhu Sundar),Silicon Valley Bank is the biggest US bank failure since Washington Mutual during the 2008 financial crisis,Regulators shut down Silicon Valley Bank on Friday. It had more than $200 billion in assets. That's the biggest failure since WaMu collapsed.,https://www.businessinsider.com/silicon-valley-bank-svb-biggest-bank-failure-since-2008-crisis-2023-3,https://i.insider.com/640b7f1e9ef79f0018289898?width=1200&format=jpeg,2023-03-10T19:10:43Z,"Regulators closed down Silicon Valley Bank on Friday, making it the largest bank failure in the US since the 2008 financial crisis.  
Silicon Valley Bank, a vaunted institution for tech startups, cl… [+1852 chars]"
